Wall time,Step,Value
1717776813.0565326,0,3.6459269523620605
1717782795.5910363,1,3.3299708366394043
1717788719.6634576,2,3.3624989986419678
1717794647.1475763,3,3.106499433517456
1717800556.0894089,4,3.128208875656128
1717806494.6650252,5,2.821493148803711
1717812467.5241907,6,2.8147706985473633
1717818402.3384018,7,2.7901766300201416
1717824343.5066366,8,2.7628467082977295
1717830261.2421365,9,2.8154594898223877
1717836216.1345296,10,2.5693607330322266
1717842157.3875828,11,2.555896043777466
1717848125.548876,12,2.5597362518310547
1717854058.84137,13,2.477717876434326
1717859976.3701353,14,2.4713339805603027
1717865962.3746552,15,2.4078426361083984
1717871901.3583179,16,2.4356789588928223
1717877850.5899951,17,2.433138608932495
