Wall time,Step,Value
1717932152.8325334,0,3.9706127643585205
1717938738.7728386,1,3.4121413230895996
1717945122.097934,2,3.343554973602295
1717951206.2631176,3,3.1773622035980225
1717957302.3960035,4,3.2700347900390625
1717963371.3423965,5,2.8822669982910156
1717969494.2960308,6,2.8817648887634277
1717975587.4306056,7,2.864368438720703
1717981652.7826598,8,2.829820156097412
1717987736.6664853,9,2.868882179260254
1717993828.724459,10,2.6502158641815186
1717999911.6733472,11,2.616426706314087
1718005998.0698063,12,2.638124465942383
1718012167.5196242,13,2.513277530670166
1718018664.420193,14,2.5427443981170654
1718025305.1121476,15,2.4499027729034424
1718031790.439757,16,2.471733331680298
1718038258.4026341,17,2.463496208190918
