Wall time,Step,Value
1717766425.16316,0,3.999680519104004
1717772460.9164743,1,3.6515443325042725
1717778643.639314,2,3.552786350250244
1717784784.8943708,3,3.356100082397461
1717790985.4014306,4,3.368497371673584
1717797071.662128,5,3.073882579803467
1717803146.6134171,6,3.0431995391845703
1717809144.0614808,7,2.968888998031616
1717815167.3894668,8,2.964233160018921
1717821186.8952734,9,2.9904794692993164
1717827285.8561168,10,2.795234203338623
1717833323.4493427,11,2.7460765838623047
1717839400.8174844,12,2.767662286758423
1717845425.8834772,13,2.6580986976623535
1717851554.0688558,14,2.6737618446350098
1717857642.3022118,15,2.5920865535736084
1717863631.3420296,16,2.6203348636627197
1717870163.1224098,17,2.614711046218872
